id,bacnetConn,bacnetDeviceName,bacnetDeviceStatus,bacnetVersion,conn,connErr,connOpenRetryFreq,connPingFreq,connState,connStatus,connTuningRef,dis,disabled,modelName,uri,vendorName,mod
@p:mckinstryhcpsuuuhs:r:2f884c04-0201c1ae VAV-01-21,✓,VAV-01-21,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-21,✓,BAC-9001A,bacnet://10.61.254.21:47871/171026?dnet=17100&dadr=1a,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-b4bb2788 VAV-01-16,✓,VAV-01-16,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-16,✓,BAC-9001A,bacnet://10.61.254.21:47871/171021?dnet=17100&dadr=15,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-9f291d29 VAV-01-11,✓,VAV-01-11,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-11,✓,BAC-9001A,bacnet://10.61.254.21:47871/171016?dnet=17100&dadr=10,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-deb7de6c VAV-01-23,✓,VAV-01-23,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-23,✓,BAC-9001A,bacnet://10.61.254.21:47871/171028?dnet=17100&dadr=1c,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-6a2c2eee CV-01-12,✓,CV-01-12,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,CV-01-12,✓,BAC-9001A,bacnet://10.61.254.21:47871/171017?dnet=17100&dadr=11,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-8558199b CV-01-02,✓,CV-01-02,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,CV-01-02,✓,BAC-9001A,bacnet://10.61.254.21:47871/171007?dnet=17100&dadr=7,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-e9d8bb4f VAV-01-19,✓,VAV-01-19,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-19,✓,BAC-9001A,bacnet://10.61.254.21:47871/171024?dnet=17100&dadr=18,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-e353ca08 VAV-01-09,✓,VAV-01-09,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-09,✓,BAC-9001A,bacnet://10.61.254.21:47871/171014?dnet=17100&dadr=e,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-677fc035 VAV-01-17,✓,VAV-01-17,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-17,✓,BAC-9001A,bacnet://10.61.254.21:47871/171022?dnet=17100&dadr=16,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-69bab82e VAV-01-22,✓,VAV-01-22,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-22,✓,BAC-9001A,bacnet://10.61.254.21:47871/171027?dnet=17100&dadr=1b,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2fd3cc97-235111f0 VAV-2B-02,✓,VAV-2B-02,OPERATIONAL,1.16,✓,"",1h,1h,open,ok,@p:mckinstryhcpsuuuhs:r:2f887ecb-6b66b57e ConnTuning_5min,VAV-2B-02,"",BAC-9001A,bacnet://10.61.254.23:47871/171157?dnet=17120&dadr=7,KMC Controls Inc.,2025-06-05T04:35:54.265Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-9746f9de VAV-01-20,✓,VAV-01-20,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-20,✓,BAC-9001A,bacnet://10.61.254.21:47871/171025?dnet=17100&dadr=19,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-2fc5a534 AHU-1_ERV-1,✓,AHU-1_ERV-1,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,AHU-1_ERV-1,✓,BAC-5901AC,bacnet://10.61.254.21:47871/171004?dnet=17100&dadr=4,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-ee11dab8 VAV-01-05,✓,VAV-01-05,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-05,✓,BAC-9001A,bacnet://10.61.254.21:47871/171010?dnet=17100&dadr=a,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-fd977003 VAV-01-18,✓,VAV-01-18,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-18,✓,BAC-9001A,bacnet://10.61.254.21:47871/171023?dnet=17100&dadr=17,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-e087f3b0 VAV-01-24,✓,VAV-01-24,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-24,✓,BAC-9001A,bacnet://10.61.254.21:47871/171029?dnet=17100&dadr=1d,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-914abf0c VAV-01-08,✓,VAV-01-08,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-08,✓,BAC-9001A,bacnet://10.61.254.21:47871/171013?dnet=17100&dadr=d,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-f603f112 VAV-01-25,✓,VAV-01-25,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-25,✓,BAC-9001A,bacnet://10.61.254.21:47871/171030?dnet=17100&dadr=1e,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-895188a8 VAV-01-07,✓,VAV-01-07,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-07,✓,BAC-9001A,bacnet://10.61.254.21:47871/171012?dnet=17100&dadr=c,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-1964ebc5 CV-01-03,✓,CV-01-03,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f89542b-65da9b6f ConnTuning_1min,CV-01-03,✓,BAC-9001A,bacnet://10.61.254.21:47871/171008?dnet=17100&dadr=8,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-19579cee VAV-01-06,✓,VAV-01-06,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,VAV-01-06,✓,BAC-9001A,bacnet://10.61.254.21:47871/171011?dnet=17100&dadr=b,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
@p:mckinstryhcpsuuuhs:r:2f884c04-000bc1ef CV-01-15,✓,CV-01-15,OPERATIONAL,1.16,✓,"",60min,60min,closed,disabled,@p:mckinstryhcpsuuuhs:r:2f887ed6-f32c29be ConnTuning_5min,CV-01-15,✓,BAC-9001A,bacnet://10.61.254.21:47871/171020?dnet=17100&dadr=14,KMC Controls Inc.,2025-05-29T23:30:42.5Z UTC
